payment_id,subscription_id,payment_date,amount,payment_status,refund_flag,payment_month
500001,100001,2025-12-01,29.0,Paid,False,2025-12
500002,100002,2024-01-01,79.0,Paid,False,2024-01
500003,100002,2025-01-01,79.0,Paid,False,2025-01
500004,100003,2025-11-01,27.55,Paid,False,2025-11
500005,100003,2025-12-01,27.55,Paid,False,2025-12
500006,100004,2024-01-01,67.15,Paid,False,2024-01
500007,100004,2025-01-01,67.15,Paid,False,2025-01
500008,100005,2025-11-01,29.0,Paid,False,2025-11
500009,100005,2025-12-01,29.0,Paid,False,2025-12
500010,100006,2025-05-05,29.0,Paid,False,2025-05
500011,100006,2025-06-05,29.0,Paid,False,2025-06
500012,100006,2025-07-05,29.0,Paid,False,2025-07
500013,100006,2025-08-05,29.0,Paid,False,2025-08
500014,100006,2025-09-05,29.0,Paid,False,2025-09
500015,100006,2025-10-05,29.0,Paid,False,2025-10
500016,100006,2025-11-05,29.0,Paid,False,2025-11
500017,100006,2025-12-05,29.0,Paid,False,2025-12
500018,100007,2024-03-11,29.0,Failed,False,2024-03
500019,100007,2024-04-11,29.0,Paid,False,2024-04
500020,100007,2024-05-11,29.0,Paid,False,2024-05
500021,100007,2024-06-11,29.0,Paid,False,2024-06
500022,100007,2024-07-11,29.0,Paid,False,2024-07
500023,100007,2024-08-11,29.0,Paid,False,2024-08
500024,100007,2024-09-11,29.0,Paid,False,2024-09
500025,100007,2024-10-11,29.0,Paid,False,2024-10
500026,100007,2024-11-11,29.0,Paid,False,2024-11
500027,100007,2024-12-11,29.0,Refunded,True,2024-12
500028,100007,2025-01-11,29.0,Failed,False,2025-01
500029,100007,2025-02-11,29.0,Paid,False,2025-02
500030,100007,2025-03-11,29.0,Paid,False,2025-03
500031,100007,2025-04-11,29.0,Paid,False,2025-04
500032,100007,2025-05-11,29.0,Paid,False,2025-05
500033,100007,2025-06-11,29.0,Failed,False,2025-06
500034,100007,2025-07-11,29.0,Paid,False,2025-07
500035,100007,2025-08-11,29.0,Paid,False,2025-08
500036,100007,2025-09-11,29.0,Paid,False,2025-09
500037,100007,2025-10-11,29.0,Paid,False,2025-10
500038,100007,2025-11-11,29.0,Paid,False,2025-11
500039,100007,2025-12-11,29.0,Paid,False,2025-12
500040,100008,2025-03-06,29.0,Paid,False,2025-03
500041,100008,2025-04-06,29.0,Paid,False,2025-04
500042,100008,2025-05-06,29.0,Paid,False,2025-05
500043,100008,2025-06-06,29.0,Paid,False,2025-06
500044,100008,2025-07-06,29.0,Paid,False,2025-07
500045,100008,2025-08-06,29.0,Paid,False,2025-08
500046,100008,2025-09-06,29.0,Failed,False,2025-09
500047,100008,2025-10-06,29.0,Paid,False,2025-10
500048,100008,2025-11-06,29.0,Paid,False,2025-11
500049,100008,2025-12-06,29.0,Paid,False,2025-12
500050,100009,2024-01-01,26.1,Paid,False,2024-01
500051,100009,2024-02-01,26.1,Paid,False,2024-02
500052,100009,2024-03-01,26.1,Paid,False,2024-03
500053,100009,2024-04-01,26.1,Paid,False,2024-04
