payment_id,subscription_id,payment_date,amount,payment_status,refund_flag
500001,100001,2025-12-01,29.0,Paid,False
500002,100002,2024-01-01,79.0,Paid,False
500003,100002,2025-01-01,79.0,Paid,False
500004,100003,2025-11-01,27.55,Paid,False
500005,100003,2025-12-01,27.55,Paid,False
500006,100004,2024-01-01,67.15,Paid,False
500007,100004,2025-01-01,67.15,Paid,False
500008,100005,2025-11-01,29.0,Paid,False
500009,100005,2025-12-01,29.0,Paid,False
500010,100006,2025-05-05,29.0,Paid,False
500011,100006,2025-06-05,29.0,Paid,False
500012,100006,2025-07-05,29.0,Paid,False
500013,100006,2025-08-05,29.0,Paid,False
500014,100006,2025-09-05,29.0,Paid,False
500015,100006,2025-10-05,29.0,Paid,False
500016,100006,2025-11-05,29.0,Paid,False
500017,100006,2025-12-05,29.0,Paid,False
500018,100007,2024-03-11,29.0,Failed,False
500019,100007,2024-04-11,29.0,Paid,False
500020,100007,2024-05-11,29.0,Paid,False
500021,100007,2024-06-11,29.0,Paid,False
500022,100007,2024-07-11,29.0,Paid,False
500023,100007,2024-08-11,29.0,Paid,False
500024,100007,2024-09-11,29.0,Paid,False
500025,100007,2024-10-11,29.0,Paid,False
500026,100007,2024-11-11,29.0,Paid,False
500027,100007,2024-12-11,29.0,Refunded,True
500028,100007,2025-01-11,29.0,Failed,False
500029,100007,2025-02-11,29.0,Paid,False
500030,100007,2025-03-11,29.0,Paid,False
500031,100007,2025-04-11,29.0,Paid,False
500032,100007,2025-05-11,29.0,Paid,False
500033,100007,2025-06-11,29.0,Failed,False
500034,100007,2025-07-11,29.0,Paid,False
500035,100007,2025-08-11,29.0,Paid,False
500036,100007,2025-09-11,29.0,Paid,False
500037,100007,2025-10-11,29.0,Paid,False
500038,100007,2025-11-11,29.0,Paid,False
500039,100007,2025-12-11,29.0,Paid,False
500040,100008,2025-03-06,29.0,Paid,False
500041,100008,2025-04-06,29.0,Paid,False
500042,100008,2025-05-06,29.0,Paid,False
500043,100008,2025-06-06,29.0,Paid,False
500044,100008,2025-07-06,29.0,Paid,False
500045,100008,2025-08-06,29.0,Paid,False
500046,100008,2025-09-06,29.0,Failed,False
500047,100008,2025-10-06,29.0,Paid,False
500048,100008,2025-11-06,29.0,Paid,False
500049,100008,2025-12-06,29.0,Paid,False
500050,100009,2024-01-01,26.1,Paid,False
500051,100009,2024-02-01,26.1,Paid,False
500052,100009,2024-03-01,26.1,Paid,False
500053,100009,2024-04-01,26.1,Paid,False
500054,100009,2024-05-01,26.1,Paid,False
500055,100009,2024-06-01,26.1,Paid,False
500056,100009,2024-07-01,26.1,Paid,False
500057,100009,2024-08-01,26.1,Paid,False
500058,100009,2024-09-01,26.1,Paid,False
500059,100009,2024-10-01,26.1,Paid,False
500060,100009,2024-11-01,26.1,Paid,False
500061,100009,2024-12-01,26.1,Paid,False
500062,100009,2025-01-01,26.1,Paid,False
500063,100009,2025-02-01,26.1,Paid,False
500064,100009,2025-03-01,26.1,Paid,False
500065,100009,2025-04-01,26.1,Paid,False
500066,100009,2025-05-01,26.1,Paid,False
500067,100009,2025-06-01,26.1,Paid,False
500068,100009,2025-07-01,26.1,Paid,False
500069,100009,2025-08-01,26.1,Paid,False
500070,100009,2025-09-01,26.1,Paid,False
500071,100009,2025-10-01,26.1,Paid,False
500072,100009,2025-11-01,26.1,Paid,False
500073,100009,2025-12-01,26.1,Paid,False
500074,100010,2024-01-01,79.0,Paid,False
500075,100010,2025-01-01,79.0,Paid,False
500076,100011,2024-12-06,29.0,Failed,False
500077,100011,2025-01-06,29.0,Paid,False
500078,100011,2025-02-06,29.0,Paid,False
500079,100011,2025-03-06,29.0,Paid,False
500080,100011,2025-04-06,29.0,Paid,False
500081,100011,2025-05-06,29.0,Paid,False
500082,100011,2025-06-06,29.0,Paid,False
500083,100011,2025-07-06,29.0,Paid,False
500084,100011,2025-08-06,29.0,Paid,False
500085,100011,2025-09-06,29.0,Paid,False
500086,100011,2025-10-06,29.0,Paid,False
500087,100011,2025-11-06,29.0,Paid,False
500088,100011,2025-12-06,29.0,Paid,False
500089,100012,2024-09-07,199.0,Failed,False
500090,100012,2025-09-07,199.0,Paid,False
500091,100013,2024-01-01,79.0,Paid,False
500092,100013,2025-01-01,79.0,Paid,False
500093,100014,2024-01-01,29.0,Paid,False
500094,100014,2024-02-01,29.0,Paid,False
500095,100014,2024-03-01,29.0,Paid,False
500096,100014,2024-04-01,29.0,Paid,False
500097,100014,2024-05-01,29.0,Paid,False
500098,100014,2024-06-01,29.0,Paid,False
500099,100014,2024-07-01,29.0,Paid,False
500100,100014,2024-08-01,29.0,Paid,False
500101,100014,2024-09-01,29.0,Paid,False
500102,100014,2024-10-01,29.0,Paid,False
500103,100014,2024-11-01,29.0,Paid,False
500104,100014,2024-12-01,29.0,Paid,False
500105,100014,2025-01-01,29.0,Paid,False
500106,100014,2025-02-01,29.0,Paid,False
500107,100014,2025-03-01,29.0,Paid,False
500108,100014,2025-04-01,29.0,Paid,False
500109,100014,2025-05-01,29.0,Paid,False
500110,100014,2025-06-01,29.0,Paid,False
500111,100014,2025-07-01,29.0,Paid,False
500112,100014,2025-08-01,29.0,Paid,False
500113,100014,2025-09-01,29.0,Paid,False
500114,100014,2025-10-01,29.0,Paid,False
500115,100014,2025-11-01,29.0,Paid,False
500116,100014,2025-12-01,29.0,Paid,False
500117,100015,2024-01-01,27.55,Paid,False
500118,100015,2024-02-01,27.55,Failed,False
500119,100015,2024-03-01,27.55,Paid,False
500120,100015,2024-04-01,27.55,Paid,False
500121,100015,2024-05-01,27.55,Paid,False
500122,100015,2024-06-01,27.55,Refunded,True
500123,100015,2024-07-01,27.55,Failed,False
500124,100015,2024-08-01,27.55,Paid,False
500125,100015,2024-09-01,27.55,Failed,False
500126,100015,2024-10-01,27.55,Paid,False
500127,100015,2024-11-01,27.55,Refunded,True
500128,100015,2024-12-01,27.55,Paid,False
500129,100015,2025-01-01,27.55,Paid,False
500130,100015,2025-02-01,27.55,Paid,False
500131,100015,2025-03-01,27.55,Paid,False
500132,100015,2025-04-01,27.55,Paid,False
500133,100015,2025-05-01,27.55,Paid,False
500134,100015,2025-06-01,27.55,Paid,False
500135,100015,2025-07-01,27.55,Refunded,True
500136,100015,2025-08-01,27.55,Paid,False
500137,100015,2025-09-01,27.55,Paid,False
500138,100015,2025-10-01,27.55,Failed,False
500139,100015,2025-11-01,27.55,Paid,False
500140,100015,2025-12-01,27.55,Paid,False
500141,100016,2024-01-01,199.0,Paid,False
500142,100016,2025-01-01,199.0,Paid,False
500143,100017,2024-01-01,79.0,Paid,False
500144,100017,2025-01-01,79.0,Paid,False
500145,100018,2024-01-01,199.0,Failed,False
500146,100018,2025-01-01,199.0,Paid,False
500147,100019,2025-03-06,26.1,Paid,False
500148,100019,2025-04-06,26.1,Paid,False
500149,100019,2025-05-06,26.1,Paid,False
500150,100019,2025-06-06,26.1,Paid,False
500151,100019,2025-07-06,26.1,Paid,False
500152,100019,2025-08-06,26.1,Paid,False
500153,100019,2025-09-06,26.1,Refunded,True
500154,100019,2025-10-06,26.1,Paid,False
500155,100019,2025-11-06,26.1,Paid,False
500156,100019,2025-12-06,26.1,Paid,False
500157,100020,2024-04-10,26.1,Paid,False
500158,100020,2024-05-10,26.1,Paid,False
500159,100020,2024-06-10,26.1,Paid,False
500160,100020,2024-07-10,26.1,Paid,False
500161,100020,2024-08-10,26.1,Paid,False
500162,100020,2024-09-10,26.1,Paid,False
500163,100020,2024-10-10,26.1,Paid,False
500164,100020,2024-11-10,26.1,Paid,False
500165,100020,2024-12-10,26.1,Paid,False
500166,100020,2025-01-10,26.1,Paid,False
500167,100020,2025-02-10,26.1,Paid,False
500168,100020,2025-03-10,26.1,Paid,False
500169,100020,2025-04-10,26.1,Paid,False
500170,100020,2025-05-10,26.1,Paid,False
500171,100020,2025-06-10,26.1,Paid,False
500172,100020,2025-07-10,26.1,Paid,False
500173,100020,2025-08-10,26.1,Paid,False
500174,100020,2025-09-10,26.1,Paid,False
500175,100020,2025-10-10,26.1,Paid,False
500176,100020,2025-11-10,26.1,Paid,False
500177,100020,2025-12-10,26.1,Paid,False
500178,100021,2025-12-01,27.55,Paid,False
500179,100022,2025-01-05,75.05,Paid,False
500180,100023,2025-12-01,26.1,Paid,False
500181,100024,2024-01-01,199.0,Paid,False
500182,100024,2025-01-01,199.0,Paid,False
500183,100025,2024-01-01,29.0,Paid,False
500184,100025,2024-02-01,29.0,Paid,False
500185,100025,2024-03-01,29.0,Paid,False
500186,100025,2024-04-01,29.0,Paid,False
500187,100025,2024-05-01,29.0,Paid,False
500188,100025,2024-06-01,29.0,Paid,False
500189,100025,2024-07-01,29.0,Paid,False
500190,100025,2024-08-01,29.0,Paid,False
500191,100025,2024-09-01,29.0,Paid,False
500192,100025,2024-10-01,29.0,Paid,False
500193,100025,2024-11-01,29.0,Paid,False
500194,100025,2024-12-01,29.0,Paid,False
500195,100025,2025-01-01,29.0,Paid,False
500196,100025,2025-02-01,29.0,Paid,False
500197,100025,2025-03-01,29.0,Paid,False
500198,100025,2025-04-01,29.0,Paid,False
500199,100025,2025-05-01,29.0,Paid,False
500200,100025,2025-06-01,29.0,Paid,False
500201,100025,2025-07-01,29.0,Failed,False
500202,100025,2025-08-01,29.0,Paid,False
500203,100025,2025-09-01,29.0,Paid,False
500204,100025,2025-10-01,29.0,Paid,False
500205,100025,2025-11-01,29.0,Paid,False
500206,100025,2025-12-01,29.0,Paid,False
500207,100026,2024-01-01,29.0,Paid,False
500208,100026,2024-02-01,29.0,Paid,False
500209,100026,2024-03-01,29.0,Paid,False
500210,100026,2024-04-01,29.0,Paid,False
500211,100026,2024-05-01,29.0,Paid,False
500212,100026,2024-06-01,29.0,Paid,False
500213,100026,2024-07-01,29.0,Paid,False
500214,100026,2024-08-01,29.0,Paid,False
500215,100026,2024-09-01,29.0,Paid,False
500216,100026,2024-10-01,29.0,Paid,False
500217,100026,2024-11-01,29.0,Paid,False
500218,100026,2024-12-01,29.0,Paid,False
500219,100026,2025-01-01,29.0,Paid,False
500220,100026,2025-02-01,29.0,Paid,False
500221,100026,2025-03-01,29.0,Paid,False
500222,100026,2025-04-01,29.0,Paid,False
500223,100026,2025-05-01,29.0,Paid,False
500224,100026,2025-06-01,29.0,Failed,False
500225,100026,2025-07-01,29.0,Paid,False
500226,100026,2025-08-01,29.0,Paid,False
500227,100026,2025-09-01,29.0,Paid,False
500228,100026,2025-10-01,29.0,Paid,False
500229,100026,2025-11-01,29.0,Paid,False
500230,100026,2025-12-01,29.0,Paid,False
500231,100027,2024-01-01,29.0,Paid,False
500232,100027,2024-02-01,29.0,Paid,False
500233,100027,2024-03-01,29.0,Paid,False
500234,100027,2024-04-01,29.0,Paid,False
500235,100027,2024-05-01,29.0,Paid,False
500236,100027,2024-06-01,29.0,Paid,False
500237,100027,2024-07-01,29.0,Paid,False
500238,100027,2024-08-01,29.0,Failed,False
500239,100027,2024-09-01,29.0,Paid,False
500240,100027,2024-10-01,29.0,Paid,False
500241,100027,2024-11-01,29.0,Paid,False
500242,100027,2024-12-01,29.0,Paid,False
500243,100027,2025-01-01,29.0,Paid,False
500244,100027,2025-02-01,29.0,Paid,False
500245,100027,2025-03-01,29.0,Paid,False
500246,100027,2025-04-01,29.0,Paid,False
500247,100027,2025-05-01,29.0,Paid,False
500248,100027,2025-06-01,29.0,Paid,False
500249,100027,2025-07-01,29.0,Paid,False
500250,100027,2025-08-01,29.0,Paid,False
500251,100027,2025-09-01,29.0,Paid,False
500252,100027,2025-10-01,29.0,Paid,False
500253,100027,2025-11-01,29.0,Paid,False
500254,100027,2025-12-01,29.0,Paid,False
500255,100028,2025-12-01,24.65,Paid,False
500256,100029,2024-01-01,199.0,Paid,False
500257,100029,2025-01-01,199.0,Paid,False
500258,100030,2024-08-08,29.0,Paid,False
500259,100030,2024-09-08,29.0,Refunded,True
500260,100030,2024-10-08,29.0,Paid,False
500261,100030,2024-11-08,29.0,Paid,False
500262,100030,2024-12-08,29.0,Paid,False
500263,100030,2025-01-08,29.0,Paid,False
500264,100030,2025-02-08,29.0,Paid,False
500265,100030,2025-03-08,29.0,Paid,False
500266,100030,2025-04-08,29.0,Paid,False
500267,100030,2025-05-08,29.0,Paid,False
500268,100030,2025-06-08,29.0,Paid,False
500269,100030,2025-07-08,29.0,Failed,False
500270,100030,2025-08-08,29.0,Paid,False
500271,100030,2025-09-08,29.0,Paid,False
500272,100030,2025-10-08,29.0,Paid,False
500273,100030,2025-11-08,29.0,Paid,False
500274,100030,2025-12-08,29.0,Paid,False
500275,100031,2024-01-01,199.0,Paid,False
500276,100031,2025-01-01,199.0,Paid,False
500277,100032,2025-11-01,29.0,Paid,False
500278,100032,2025-12-01,29.0,Paid,False
500279,100033,2024-01-01,79.0,Paid,False
500280,100033,2025-01-01,79.0,Paid,False
500281,100034,2025-12-01,29.0,Paid,False
500282,100035,2025-12-01,29.0,Paid,False
500283,100036,2024-01-01,179.1,Paid,False
500284,100036,2025-01-01,179.1,Paid,False
500285,100037,2025-08-03,29.0,Paid,False
500286,100037,2025-09-03,29.0,Paid,False
500287,100037,2025-10-03,29.0,Paid,False
500288,100037,2025-11-03,29.0,Paid,False
500289,100037,2025-12-03,29.0,Paid,False
500290,100038,2024-01-01,29.0,Paid,False
500291,100038,2024-02-01,29.0,Paid,False
500292,100038,2024-03-01,29.0,Paid,False
500293,100038,2024-04-01,29.0,Paid,False
500294,100038,2024-05-01,29.0,Paid,False
500295,100038,2024-06-01,29.0,Paid,False
500296,100038,2024-07-01,29.0,Paid,False
500297,100038,2024-08-01,29.0,Paid,False
500298,100038,2024-09-01,29.0,Paid,False
500299,100038,2024-10-01,29.0,Paid,False
500300,100038,2024-11-01,29.0,Paid,False
500301,100038,2024-12-01,29.0,Paid,False
500302,100038,2025-01-01,29.0,Paid,False
500303,100038,2025-02-01,29.0,Paid,False
500304,100038,2025-03-01,29.0,Paid,False
500305,100038,2025-04-01,29.0,Paid,False
500306,100038,2025-05-01,29.0,Paid,False
500307,100038,2025-06-01,29.0,Paid,False
500308,100038,2025-07-01,29.0,Paid,False
500309,100038,2025-08-01,29.0,Refunded,True
500310,100038,2025-09-01,29.0,Paid,False
500311,100038,2025-10-01,29.0,Paid,False
500312,100038,2025-11-01,29.0,Paid,False
500313,100038,2025-12-01,29.0,Paid,False
500314,100039,2024-01-01,27.55,Paid,False
500315,100039,2024-02-01,27.55,Paid,False
500316,100039,2024-03-01,27.55,Paid,False
500317,100039,2024-04-01,27.55,Paid,False
500318,100039,2024-05-01,27.55,Paid,False
500319,100039,2024-06-01,27.55,Paid,False
500320,100039,2024-07-01,27.55,Paid,False
500321,100039,2024-08-01,27.55,Paid,False
500322,100039,2024-09-01,27.55,Refunded,True
500323,100039,2024-10-01,27.55,Paid,False
500324,100039,2024-11-01,27.55,Paid,False
500325,100039,2024-12-01,27.55,Paid,False
500326,100039,2025-01-01,27.55,Paid,False
500327,100039,2025-02-01,27.55,Paid,False
500328,100039,2025-03-01,27.55,Paid,False
500329,100039,2025-04-01,27.55,Paid,False
500330,100039,2025-05-01,27.55,Paid,False
500331,100039,2025-06-01,27.55,Paid,False
500332,100039,2025-07-01,27.55,Paid,False
500333,100039,2025-08-01,27.55,Paid,False
500334,100039,2025-09-01,27.55,Paid,False
500335,100039,2025-10-01,27.55,Paid,False
500336,100039,2025-11-01,27.55,Paid,False
500337,100039,2025-12-01,27.55,Paid,False
500338,100040,2025-02-04,29.0,Paid,False
500339,100040,2025-03-04,29.0,Paid,False
500340,100040,2025-04-04,29.0,Paid,False
500341,100040,2025-05-04,29.0,Paid,False
500342,100040,2025-06-04,29.0,Paid,False
500343,100040,2025-07-04,29.0,Paid,False
500344,100040,2025-08-04,29.0,Paid,False
500345,100040,2025-09-04,29.0,Paid,False
500346,100040,2025-10-04,29.0,Paid,False
500347,100040,2025-11-04,29.0,Paid,False
500348,100040,2025-12-04,29.0,Paid,False
500349,100041,2025-03-06,75.05,Refunded,True
500350,100042,2024-01-01,189.05,Paid,False
500351,100042,2025-01-01,189.05,Paid,False
500352,100043,2024-08-08,67.15,Paid,False
500353,100043,2025-08-08,67.15,Paid,False
500354,100044,2024-01-01,189.05,Paid,False
500355,100044,2025-01-01,189.05,Paid,False
500356,100045,2024-12-06,29.0,Paid,False
500357,100045,2025-01-06,29.0,Paid,False
500358,100045,2025-02-06,29.0,Paid,False
500359,100045,2025-03-06,29.0,Paid,False
500360,100045,2025-04-06,29.0,Paid,False
500361,100045,2025-05-06,29.0,Paid,False
500362,100045,2025-06-06,29.0,Paid,False
500363,100045,2025-07-06,29.0,Paid,False
500364,100045,2025-08-06,29.0,Paid,False
500365,100045,2025-09-06,29.0,Paid,False
500366,100045,2025-10-06,29.0,Paid,False
500367,100045,2025-11-06,29.0,Paid,False
500368,100045,2025-12-06,29.0,Paid,False
500369,100046,2024-01-01,29.0,Paid,False
500370,100046,2024-02-01,29.0,Paid,False
500371,100046,2024-03-01,29.0,Refunded,True
500372,100046,2024-04-01,29.0,Paid,False
500373,100046,2024-05-01,29.0,Paid,False
500374,100046,2024-06-01,29.0,Paid,False
500375,100046,2024-07-01,29.0,Paid,False
500376,100046,2024-08-01,29.0,Paid,False
500377,100046,2024-09-01,29.0,Paid,False
500378,100046,2024-10-01,29.0,Paid,False
500379,100046,2024-11-01,29.0,Paid,False
500380,100046,2024-12-01,29.0,Paid,False
500381,100046,2025-01-01,29.0,Paid,False
500382,100046,2025-02-01,29.0,Paid,False
500383,100046,2025-03-01,29.0,Paid,False
500384,100046,2025-04-01,29.0,Paid,False
500385,100046,2025-05-01,29.0,Paid,False
500386,100046,2025-06-01,29.0,Paid,False
500387,100046,2025-07-01,29.0,Paid,False
500388,100046,2025-08-01,29.0,Paid,False
500389,100046,2025-09-01,29.0,Paid,False
500390,100046,2025-10-01,29.0,Paid,False
500391,100046,2025-11-01,29.0,Paid,False
500392,100046,2025-12-01,29.0,Paid,False
500393,100047,2025-11-01,29.0,Paid,False
500394,100047,2025-12-01,29.0,Paid,False
500395,100048,2025-11-01,29.0,Paid,False
500396,100048,2025-12-01,29.0,Refunded,True
500397,100049,2024-01-01,199.0,Paid,False
500398,100049,2025-01-01,199.0,Paid,False
500399,100050,2024-01-01,199.0,Paid,False
500400,100050,2025-01-01,199.0,Paid,False
500401,100051,2024-01-01,27.55,Paid,False
500402,100051,2024-02-01,27.55,Paid,False
500403,100051,2024-03-01,27.55,Paid,False
500404,100051,2024-04-01,27.55,Failed,False
500405,100051,2024-05-01,27.55,Paid,False
500406,100051,2024-06-01,27.55,Paid,False
500407,100051,2024-07-01,27.55,Paid,False
500408,100051,2024-08-01,27.55,Paid,False
500409,100051,2024-09-01,27.55,Paid,False
500410,100051,2024-10-01,27.55,Paid,False
500411,100051,2024-11-01,27.55,Paid,False
500412,100051,2024-12-01,27.55,Paid,False
500413,100051,2025-01-01,27.55,Paid,False
500414,100051,2025-02-01,27.55,Paid,False
500415,100051,2025-03-01,27.55,Paid,False
500416,100051,2025-04-01,27.55,Paid,False
500417,100051,2025-05-01,27.55,Paid,False
500418,100051,2025-06-01,27.55,Paid,False
500419,100051,2025-07-01,27.55,Failed,False
500420,100051,2025-08-01,27.55,Paid,False
500421,100051,2025-09-01,27.55,Paid,False
500422,100051,2025-10-01,27.55,Paid,False
500423,100051,2025-11-01,27.55,Paid,False
500424,100051,2025-12-01,27.55,Paid,False
500425,100052,2024-10-07,29.0,Paid,False
500426,100052,2024-11-07,29.0,Paid,False
500427,100052,2024-12-07,29.0,Paid,False
500428,100052,2025-01-07,29.0,Paid,False
500429,100052,2025-02-07,29.0,Paid,False
500430,100052,2025-03-07,29.0,Paid,False
500431,100052,2025-04-07,29.0,Paid,False
500432,100052,2025-05-07,29.0,Paid,False
500433,100052,2025-06-07,29.0,Paid,False
500434,100052,2025-07-07,29.0,Paid,False
500435,100052,2025-08-07,29.0,Paid,False
500436,100052,2025-09-07,29.0,Paid,False
500437,100052,2025-10-07,29.0,Paid,False
500438,100052,2025-11-07,29.0,Paid,False
500439,100052,2025-12-07,29.0,Paid,False
500440,100053,2024-01-01,29.0,Paid,False
500441,100053,2024-02-01,29.0,Refunded,True
500442,100053,2024-03-01,29.0,Paid,False
500443,100053,2024-04-01,29.0,Failed,False
500444,100053,2024-05-01,29.0,Failed,False
500445,100053,2024-06-01,29.0,Paid,False
500446,100053,2024-07-01,29.0,Paid,False
500447,100053,2024-08-01,29.0,Paid,False
500448,100053,2024-09-01,29.0,Paid,False
