subscription_id,user_id,plan_name,billing_cycle,subscription_status,start_date,end_date,monthly_price,discount_pct,final_monthly_price
100001,1,Starter,Monthly,Active,2025-12-01,,29,0,29.0
100002,2,Pro,Annual,Active,2023-03-17,,79,0,79.0
100003,3,Starter,Monthly,Cancelled,2025-11-01,2026-01-01,29,5,27.55
100004,4,Pro,Annual,Active,2022-04-21,,79,15,67.15
100005,5,Starter,Monthly,Cancelled,2025-11-01,2026-01-01,29,0,29.0
100006,6,Starter,Monthly,Cancelled,2025-05-05,2026-01-05,29,0,29.0
100007,7,Starter,Monthly,Active,2024-03-11,,29,0,29.0
100008,8,Starter,Monthly,Active,2025-03-06,,29,0,29.0
100009,9,Starter,Monthly,Cancelled,2023-09-13,2026-01-13,29,10,26.1
100010,10,Pro,Annual,Active,2020-11-27,,79,0,79.0
100011,11,Starter,Monthly,Active,2024-12-06,,29,0,29.0
100012,12,Enterprise,Annual,Active,2024-09-07,,199,0,199.0
100013,13,Pro,Annual,Active,2021-03-27,,79,0,79.0
100014,14,Starter,Monthly,Cancelled,2021-12-22,2026-01-22,29,0,29.0
100015,15,Starter,Monthly,Active,2023-12-12,,29,5,27.55
100016,16,Enterprise,Annual,Active,2020-05-01,,199,0,199.0
100017,17,Pro,Annual,Active,2021-09-23,,79,0,79.0
100018,18,Enterprise,Annual,Active,2020-03-02,,199,0,199.0
100019,19,Starter,Monthly,Cancelled,2025-03-06,2026-01-06,29,10,26.1
100020,20,Starter,Monthly,Active,2024-04-10,,29,10,26.1
100021,21,Starter,Monthly,Cancelled,2025-12-01,2026-01-01,29,5,27.55
100022,22,Pro,Annual,Active,2025-01-05,,79,5,75.05
100023,23,Starter,Monthly,Cancelled,2025-12-01,2026-01-01,29,10,26.1
100024,24,Enterprise,Annual,Active,2021-03-27,,199,0,199.0
100025,25,Starter,Monthly,Active,2021-12-22,,29,0,29.0
100026,26,Starter,Monthly,Active,2023-07-15,,29,0,29.0
100027,27,Starter,Monthly,Cancelled,2022-02-20,2026-01-20,29,0,29.0
100028,28,Starter,Monthly,Cancelled,2025-12-01,2026-01-01,29,15,24.65
100029,29,Enterprise,Annual,Active,2020-02-01,,199,0,199.0
100030,30,Starter,Monthly,Cancelled,2024-08-08,2026-01-08,29,0,29.0
100031,31,Enterprise,Annual,Active,2020-03-02,,199,0,199.0
100032,32,Starter,Monthly,Active,2025-11-01,,29,0,29.0
100033,33,Pro,Annual,Active,2023-10-13,,79,0,79.0
100034,34,Starter,Monthly,Active,2025-12-01,,29,0,29.0
100035,35,Starter,Monthly,Active,2025-12-01,,29,0,29.0
100036,36,Enterprise,Annual,Active,2020-02-01,,199,10,179.1
100037,37,Starter,Monthly,Cancelled,2025-08-03,2026-01-03,29,0,29.0
100038,38,Starter,Monthly,Active,2022-03-22,,29,0,29.0
100039,39,Starter,Monthly,Cancelled,2023-03-17,2026-01-17,29,5,27.55
100040,40,Starter,Monthly,Cancelled,2025-02-04,2026-01-04,29,0,29.0
100041,41,Pro,Annual,Active,2025-03-06,,79,5,75.05
100042,42,Enterprise,Annual,Active,2020-04-01,,199,5,189.05
100043,43,Pro,Annual,Active,2024-08-08,,79,15,67.15
100044,44,Enterprise,Annual,Active,2020-10-28,,199,5,189.05
100045,45,Starter,Monthly,Active,2024-12-06,,29,0,29.0
100046,46,Starter,Monthly,Active,2021-12-22,,29,0,29.0
100047,47,Starter,Monthly,Active,2025-11-01,,29,0,29.0
100048,48,Starter,Monthly,Cancelled,2025-11-01,2026-01-01,29,0,29.0
100049,49,Enterprise,Annual,Active,2021-09-23,,199,0,199.0
100050,50,Enterprise,Annual,Active,2020-05-01,,199,0,199.0
100051,51,Starter,Monthly,Active,2022-06-20,,29,5,27.55
