user_id,customer_id,gender,senior_citizen,partner,dependents,signup_date,country,industry,company_size,acquisition_channel,device_type
1,7590-VHVEG,Female,0,Yes,No,2025-12-01,United States,Manufacturing,Startup,Referral,Tablet
2,5575-GNVDE,Male,0,No,No,2023-03-17,Australia,Finance,Startup,Organic Search,Mobile
3,3668-QPYBK,Male,0,No,No,2025-11-01,Germany,Manufacturing,SMB,Organic Search,Desktop
4,7795-CFOCW,Male,0,No,No,2022-04-21,United Kingdom,Technology,Startup,Referral,Tablet
5,9237-HQITU,Female,0,No,No,2025-11-01,United States,Healthcare,Startup,LinkedIn,Desktop
6,9305-CDSKC,Female,0,No,No,2025-05-05,United States,Retail,Enterprise,Referral,Desktop
7,1452-KIOVK,Male,0,No,Yes,2024-03-11,United States,Technology,Mid-Market,Partner,Mobile
8,6713-OKOMC,Female,0,No,No,2025-03-06,India,Manufacturing,Mid-Market,Email Campaign,Desktop
9,7892-POOKP,Female,0,Yes,No,2023-09-13,United Kingdom,Technology,Startup,Partner,Desktop
10,6388-TABGU,Male,0,No,Yes,2020-11-27,Germany,Technology,Mid-Market,Organic Search,Mobile
11,9763-GRSKD,Male,0,Yes,Yes,2024-12-06,United States,Technology,Mid-Market,Organic Search,Desktop
12,7469-LKBCI,Male,0,No,No,2024-09-07,Australia,Healthcare,SMB,Google Ads,Tablet
13,8091-TTVAX,Male,0,Yes,No,2021-03-27,India,Education,Startup,Organic Search,Desktop
14,0280-XJGEX,Male,0,No,No,2021-12-22,United States,Education,SMB,Google Ads,Tablet
15,5129-JLPIS,Male,0,No,No,2023-12-12,United States,Technology,Mid-Market,Organic Search,Desktop
16,3655-SNQYZ,Female,0,Yes,Yes,2020-05-01,United States,Healthcare,SMB,Organic Search,Mobile
17,8191-XWSZG,Female,0,No,No,2021-09-23,United States,Healthcare,Mid-Market,Referral,Desktop
18,9959-WOFKT,Male,0,No,Yes,2020-03-02,Canada,Technology,SMB,Referral,Mobile
19,4190-MFLUW,Female,0,Yes,Yes,2025-03-06,United States,Manufacturing,SMB,Email Campaign,Desktop
20,4183-MYFRB,Female,0,No,No,2024-04-10,United States,Manufacturing,Mid-Market,,Desktop
21,8779-QRDMV,Male,1,No,No,2025-12-01,United Kingdom,Finance,Startup,LinkedIn,Desktop
22,1680-VDCWW,Male,0,Yes,No,2025-01-05,United States,Technology,SMB,Email Campaign,Mobile
23,1066-JKSGK,Male,0,No,No,2025-12-01,United States,Finance,Enterprise,Organic Search,Tablet
24,3638-WEABW,Female,0,Yes,No,2021-03-27,United States,Manufacturing,Mid-Market,Email Campaign,Desktop
